date,ivix
2019-09-30,27.316
2019-10-08,27.316
2019-10-09,27.316
2019-10-10,27.316
2019-10-11,27.316
2019-10-14,27.316
2019-10-15,27.316
2019-10-16,27.316
2019-10-17,27.316
2019-10-18,27.316
2019-10-21,27.316
2019-10-22,27.316
2019-10-23,27.316
2019-10-24,27.316
2019-10-25,27.316
2019-10-28,27.316
2019-10-29,27.316
2019-10-30,27.316
2019-10-31,27.316
2019-11-01,27.316
2019-11-04,27.316
2019-11-05,27.316
2019-11-06,27.316
2019-11-07,27.316
2019-11-08,27.316
2019-11-11,27.316
2019-11-12,27.316
2019-11-13,27.316
2019-11-14,27.316
2019-11-15,27.316
2019-11-18,27.316
2019-11-19,27.316
2019-11-20,27.316
2019-11-21,27.316
2019-11-22,27.316
2019-11-25,27.316
2019-11-26,27.316
2019-11-27,27.316
2019-11-28,27.316
2019-11-29,27.316
2019-12-02,27.316
2019-12-03,27.316
2019-12-04,27.316
2019-12-05,27.316
2019-12-06,27.316
2019-12-09,27.316
2019-12-10,27.316
2019-12-11,27.316
2019-12-12,27.316
2019-12-13,27.316
2019-12-16,27.316
2019-12-17,27.316
2019-12-18,27.316
2019-12-19,27.316
2019-12-20,27.316
2019-12-23,27.316
2019-12-24,27.316
2019-12-25,27.316
2019-12-26,27.316
2019-12-27,27.316
2019-12-30,27.316
2019-12-31,27.316
2020-01-02,27.316
2020-01-03,27.316
2020-01-06,27.316
2020-01-07,27.316
2020-01-08,27.316
2020-01-09,27.316
2020-01-10,27.316
2020-01-13,27.316
2020-01-14,27.316
2020-01-15,27.316
2020-01-16,27.316
2020-01-17,27.316
2020-01-20,27.316
2020-01-21,27.316
